,index,callingcellid,date_key,call_date,caller,year_month,time,day_of_week,is_weekend,hour,time_of_day,is_home_time,latitude,longitude,provName
76,8598,4.1220301113e+14,20161202,12/2/2016 9:48:59 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 09:48:59,4,True,9,9.8,True,34.4245,70.4245,Nangarhar
77,8609,4.12203011463e+14,20161203,12/3/2016 8:54:54 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-03 08:54:54,5,False,8,8.9,False,34.5011,70.3906,Nangarhar
78,8764,4.1220301113e+14,20161215,12/15/2016 7:27:17 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-15 07:27:17,3,False,7,7.45,True,34.4407,70.398,Nangarhar
79,9428,4.1220301113e+14,20161206,12/6/2016 1:37:25 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-06 13:37:25,1,False,13,13.6166666667,False,34.4202,70.4383,Nangarhar
80,9530,4.1220301113e+14,20161205,12/5/2016 10:54:20 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 10:54:20,0,False,10,10.9,False,34.4202,70.4383,Nangarhar
81,9576,4.12203011463e+14,20161201,12/1/2016 2:21:15 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 14:21:15,3,False,14,14.35,False,34.5011,70.3906,Nangarhar
82,9681,4.12203011463e+14,20161214,12/14/2016 8:02:28 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-14 20:02:28,2,False,20,20.0333333333,True,34.5011,70.3906,Nangarhar
83,9756,4.12203011131e+14,20161230,12/30/2016 3:40:27 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-30 15:40:27,4,True,15,15.6666666667,True,34.4377,70.4157,Nangarhar
84,9776,4.1220301113e+14,20161217,12/17/2016 2:24:08 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-17 14:24:08,5,False,14,14.4,False,34.4245,70.4245,Nangarhar
85,10069,4.1220301113e+14,20161219,12/19/2016 4:14:34 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-19 16:14:34,0,False,16,16.2333333333,True,34.4407,70.398,Nangarhar
86,10395,4.1220301113e+14,20161218,12/18/2016 10:40:38 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-18 10:40:38,6,False,10,10.6666666667,False,34.4251,70.4497,Nangarhar
87,10566,4.12203011131e+14,20161213,12/13/2016 12:33:08 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-13 12:33:08,1,False,12,12.55,False,34.4321,70.4682,Nangarhar
88,10985,4.1220301113e+14,20161211,12/11/2016 6:07:59 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-11 18:07:59,6,False,18,18.1166666667,True,34.4407,70.398,Nangarhar
89,11066,4.12203011463e+14,20161206,12/6/2016 5:20:53 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-06 17:20:53,1,False,17,17.3333333333,True,34.5011,70.3906,Nangarhar
90,11085,4.1220301113e+14,20161202,12/2/2016 9:56:39 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 09:56:39,4,True,9,9.93333333333,True,34.4407,70.398,Nangarhar
91,11105,4.12201010728e+14,20161222,12/22/2016 2:23:27 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-22 14:23:27,3,False,14,14.3833333333,False,34.537,69.2103,Kabul
92,11174,4.12201610512e+14,20161222,12/22/2016 8:15:57 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-22 20:15:57,3,False,20,20.25,True,34.5336,69.0856,Kabul
93,11236,4.1220301113e+14,20161217,12/17/2016 5:42:40 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-17 17:42:40,5,False,17,17.7,True,34.4407,70.398,Nangarhar
94,11377,4.1220301113e+14,20161222,12/22/2016 10:15:43 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-22 10:15:43,3,False,10,10.25,False,34.4245,70.4245,Nangarhar
95,11448,4.1220301113e+14,20161218,12/18/2016 4:23:46 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-18 16:23:46,6,False,16,16.3833333333,True,34.4407,70.398,Nangarhar
96,11677,4.1220101091e+14,20161223,12/23/2016 9:47:13 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-23 09:47:13,4,True,9,9.78333333333,True,34.5325,69.1508,Kabul
97,11702,4.1220301113e+14,20161201,12/1/2016 12:53:45 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 12:53:45,3,False,12,12.8833333333,False,34.4251,70.4497,Nangarhar
98,11797,4.12203011463e+14,20161216,12/16/2016 5:09:48 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 17:09:48,4,True,17,17.15,True,34.5011,70.3906,Nangarhar
99,11889,4.12203011131e+14,20161201,12/1/2016 1:35:18 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 13:35:18,3,False,13,13.5833333333,False,34.4301,70.4428,Nangarhar
100,11893,4.12203011131e+14,20161224,12/24/2016 5:12:02 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-24 17:12:02,5,False,17,17.2,True,34.4265,70.4613,Nangarhar
101,12045,4.1220301113e+14,20161201,12/1/2016 8:37:29 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 08:37:29,3,False,8,8.61666666667,False,34.4407,70.398,Nangarhar
102,12322,4.1220301113e+14,20161217,12/17/2016 6:35:32 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-17 18:35:32,5,False,18,18.5833333333,True,34.4407,70.398,Nangarhar
103,12505,4.1220301113e+14,20161231,12/31/2016 7:01:11 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-31 19:01:11,5,False,19,19.0166666667,True,34.4407,70.398,Nangarhar
